Centro Nacional de Control de Energia
Ofertas de compra de energia del MDA
Sistema Interconectado Nacional
Reporte diario
Fecha: 26/ago/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/oct/2020 01:00:01 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Codigo, NodoP/Zona de Carga, Hora, Demanda fija (MW)
0454614HGV,08IGN-115,1,          0.000,
0454614HGV,08IGN-115,2,          0.000,
0454614HGV,08IGN-115,3,          0.000,
0454614HGV,08IGN-115,4,          0.000,
0454614HGV,08IGN-115,5,          0.000,
0454614HGV,08IGN-115,6,          0.000,
0454614HGV,08IGN-115,7,          0.000,
0454614HGV,08IGN-115,8,          0.000,
0454614HGV,08IGN-115,9,          0.000,
0454614HGV,08IGN-115,10,          0.000,
0454614HGV,08IGN-115,11,          0.000,
0454614HGV,08IGN-115,12,          0.000,
0454614HGV,08IGN-115,13,          0.000,
0454614HGV,08IGN-115,14,          0.000,
0454614HGV,08IGN-115,15,          0.000,
0454614HGV,08IGN-115,16,          0.000,
0454614HGV,08IGN-115,17,          0.000,
0454614HGV,08IGN-115,18,          0.000,
0454614HGV,08IGN-115,19,          0.000,
0454614HGV,08IGN-115,20,          0.000,
0454614HGV,08IGN-115,21,          0.000,
0454614HGV,08IGN-115,22,          0.000,
0454614HGV,08IGN-115,23,          0.000,
0454614HGV,08IGN-115,24,          0.000,
04F948JSPM,MONTERREY,1,          4.707,
04F948JSPM,MONTERREY,2,          4.702,
04F948JSPM,MONTERREY,3,          5.048,
04F948JSPM,MONTERREY,4,          4.830,
04F948JSPM,MONTERREY,5,          4.714,
04F948JSPM,MONTERREY,6,          4.710,
04F948JSPM,MONTERREY,7,          5.039,
04F948JSPM,MONTERREY,8,          4.838,
04F948JSPM,MONTERREY,9,          4.709,
04F948JSPM,MONTERREY,10,          4.696,
04F948JSPM,MONTERREY,11,          5.037,
04F948JSPM,MONTERREY,12,          4.822,
04F948JSPM,MONTERREY,13,          4.716,
04F948JSPM,MONTERREY,14,          4.713,
04F948JSPM,MONTERREY,15,          5.012,
04F948JSPM,MONTERREY,16,          4.881,
04F948JSPM,MONTERREY,17,          4.719,
04F948JSPM,MONTERREY,18,          4.718,
04F948JSPM,MONTERREY,19,          5.034,
04F948JSPM,MONTERREY,20,          4.869,
04F948JSPM,MONTERREY,21,          4.719,
04F948JSPM,MONTERREY,22,          4.713,
04F948JSPM,MONTERREY,23,          5.000,
04F948JSPM,MONTERREY,24,          4.895,
0O9I7H06BA,NOGALES,1,          3.000,
0O9I7H06BA,NOGALES,2,          3.000,
0O9I7H06BA,NOGALES,3,          3.000,
