Centro Nacional de Control de Energia
Ofertas de Exportacion de energia del MDA (Incluye Exportacion del GI)
Sistema Interconectado Nacional
Reporte diario
Fecha: 26/ago/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/oct/2020 01:00:01 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Codigo, Hora, Punto de Entrega (NodoP), Enlace Internacional, Exportacion fija (MW), Exportacion de energia-Bloque 01 (MW), Precio de la energia-Bloque 01 ($/MWh), Exportacion de energia-Bloque 02 (MW), Precio de la energia-Bloque 02 ($/MWh), Exportacion de energia-Bloque 03 (MW), Precio de la energia-Bloque 03 ($/MWh)
04F94EXPOR25S90,1,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,2,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,3,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,4,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,5,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,6,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,7,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,8,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,9,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,10,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,11,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,12,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,13,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,14,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,15,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,16,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,17,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,18,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,19,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,20,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,21,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,22,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,23,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94EXPOR25S90,24,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,1,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,2,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,3,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,4,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,5,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,6,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,7,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,8,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,9,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,10,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,11,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,12,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,13,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,14,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,15,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,16,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,17,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,18,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,19,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,20,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,21,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,22,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,23,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1EXPORLBMQU,24,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,1,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,2,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,3,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,4,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,5,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,6,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,7,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,8,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,9,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,10,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,11,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,12,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,13,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,14,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,15,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,16,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,17,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,18,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,19,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,20,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,21,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,22,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,23,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPOR49S4K,24,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPORD9P44,1,06LAA-138,CD INDUSTRIAL - LAREDO AMER, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPORD9P44,2,06LAA-138,CD INDUSTRIAL - LAREDO AMER, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPORD9P44,3,06LAA-138,CD INDUSTRIAL - LAREDO AMER, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPORD9P44,4,06LAA-138,CD INDUSTRIAL - LAREDO AMER, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPORD9P44,5,06LAA-138,CD INDUSTRIAL - LAREDO AMER, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPORD9P44,6,06LAA-138,CD INDUSTRIAL - LAREDO AMER, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPORD9P44,7,06LAA-138,CD INDUSTRIAL - LAREDO AMER, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPORD9P44,8,06LAA-138,CD INDUSTRIAL - LAREDO AMER, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZEXPORD9P44,9,06LAA-138,CD INDUSTRIAL - LAREDO AMER, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
