Centro Nacional de Control de Energia
Ofertas de Importacion de energia del MDA (Incluye Importacion del GI)
Sistema Interconectado Nacional
Reporte diario
Fecha: 26/ago/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/oct/2020 01:00:01 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Codigo, Hora, Punto de Recepcion (NodoP), Enlace Internacional, Importacion fija (MW), Importacion de energia-Bloque 01 (MW), Precio de la energia-Bloque 01 ($/MWh), Importacion de energia-Bloque 02 (MW), Precio de la energia-Bloque 02 ($/MWh), Importacion de energia-Bloque 03 (MW), Precio de la energia-Bloque 03 ($/MWh)
04F94IMPOR2LGWR,1,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,2,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,3,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,4,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,5,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,6,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,7,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,8,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,9,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,10,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,11,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,12,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,13,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,14,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,15,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,16,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,17,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,18,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,19,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,20,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,21,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,22,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,23,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
04F94IMPOR2LGWR,24,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,1,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,2,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,3,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,4,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,5,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,6,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,7,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,8,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,9,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,10,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,11,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,12,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,13,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,14,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,15,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,16,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,17,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,18,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,19,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,20,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,21,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,22,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,23,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
083O1IMPOR2ZF9R,24,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZIMPOR8PHKA,1,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZIMPOR8PHKA,2,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
0A8BZIMPOR8PHKA,3,09LBR-230,TAPACHULA-LOS BRILLANTES, ,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,
