Centro Nacional de Control de Energia
Ofertas de compra-venta de energia del MDA (Ofertas de venta de Unidad de Central Hidroelectrica)
Sistema Interconectado Nacional
Reporte diario - Componentes diarios de las ofertas 
Fecha: 26/ago/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/oct/2020 01:00:01 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema 
Datos diarios:
Codigo, Costo de Oportunidad ($/MWh), Grupo de Unidades (Embalse)
3FVZY14L9I4UZCZ,        830.54,MAL PASO,
3FVZY14L9I7KVYS,        830.54,MAL PASO,
3FVZY14L9I92K6M,        830.54,MAL PASO,
3FVZY14L9IBPSPI,        830.54,MAL PASO,
3FVZY14L9IM0NTC,        830.54,MAL PASO,
3FVZY14L9IPPCXM,        830.54,MAL PASO,
3FVZY4EY038Y7Q6,        994.98,M. MORENO T.,
3FVZY4EY03EZCAM,        994.98,M. MORENO T.,
3FVZY4EY03L0N8G,        994.98,M. MORENO T.,
3FVZY4EY03SLBR6,        994.98,M. MORENO T.,
3FVZY4EY03SLLQC,        994.98,M. MORENO T.,
3FVZY4EY03UHJ56,        994.98,M. MORENO T.,
3FVZY4EY03VDB8O,        994.98,M. MORENO T.,
3FVZY4EY03ZIJV0,        994.98,M. MORENO T.,
3FVZY8PPEQ9WGPS,        995.92,LA ANGOSTURA,
3FVZY8PPEQMA65N,        995.92,LA ANGOSTURA,
3FVZY8PPEQNDV8S,        995.92,LA ANGOSTURA,
3FVZY8PPEQSWQOR,        995.92,LA ANGOSTURA,
3FVZY8PPEQTILU2,        995.92,LA ANGOSTURA,
3FVZYA4RVK79JV4,        777.14,TEMASCAL,
3FVZYA4RVKRAIJI,        777.14,TEMASCAL,
3FVZYA4RVKRYBEJ,        777.14,TEMASCAL,
3FVZYA4RVKTH0KZ,        777.14,TEMASCAL,
3FVZYA4RVKXMM3Z,        777.14,TEMASCAL,
3FVZYA4RVKZ1084,        777.14,TEMASCAL,
3FVZYDFE9P1311H,        854.39,MAZATEPEC,
3FVZYDFE9P8RXGO,        854.39,MAZATEPEC,
3FVZYDFE9PP4B85,        854.39,MAZATEPEC,
3FVZYDFE9PTATMS,        854.39,MAZATEPEC,
3FVZYPB5017325M,        732.90,PENITAS,
3FVZYPB501ISEWZ,        732.90,PENITAS,
3FVZYPB501OWB8F,        732.90,PENITAS,
3FVZYPB501XDK50,        732.90,PENITAS,
IBSR7D7EFK8Y0XI,        659.24,AGUAMILPA,
IBSR7D7EFKIWXMM,        659.24,AGUAMILPA,
IBSR7D7EFKNO7RB,        659.24,AGUAMILPA,
IBSR7D7KMN3V66V,        665.40,LA YESCA,
IBSR7D7KMNQV6M9,        665.40,LA YESCA,
IBSR7NFGR3RP1KV,        667.93,EL CAJON,
IBSR7NFGR3TC4R7,        667.93,EL CAJON,
P7754DCGP6A7TKA,       1344.83,INFIERNILLO,
P7754DCGP6LLRS5,       1344.83,INFIERNILLO,
P7754DCGP6N0KE6,       1344.83,INFIERNILLO,
P7754DCGP6OXGEY,       1344.83,INFIERNILLO,
P7754DCGP6QBI95,       1344.83,INFIERNILLO,
P7754DCGP6VZ4FL,       1344.83,INFIERNILLO,
P7754H8AND44OMV,       1029.21,CARACOL,
P7754H8ANDOVG6H,       1029.21,CARACOL,
P7754H8ANDUUCN7,       1029.21,CARACOL,
P7754IYYPPR1IXO,        636.37,ZIMAPAN,
P7754IYYPPUEW36,        636.37,ZIMAPAN,
P7754Z5ETB1XDOE,       1225.50,VILLITA,
P7754Z5ETBRP52Y,       1225.50,VILLITA,
P7754Z5ETBX2TSI,       1225.50,VILLITA,
P7754Z5ETBYF8KK,       1225.50,VILLITA,
WRZRF81ATT5YUGJ,       1148.10,EL FUERTE,
WRZRF81ATTAZDOQ,       1148.10,EL FUERTE,
WRZRF81ATTRZ5YY,       1148.10,EL FUERTE,
WRZRFC8TNEG0V48,        987.39,HUITES,
WRZRFC8TNEMFGMA,        987.39,HUITES,
WRZRFVOFBO9HSEN,        640.64,NOVILLO,
WRZRFVOFBOILKLB,        640.64,NOVILLO,
WRZRFVOFBOV1COP,        640.64,NOVILLO,


