Centro Nacional de Control de Energia
Ofertas de compra-venta de energia del MDA (Ofertas de venta de Unidad de Central Hidroelectrica)
Sistema Interconectado Nacional
Reporte diario - Componentes horarios de las ofertas 
Fecha: 26/ago/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/oct/2020 01:00:01 hrs.
Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema. 
Datos horarios:
Codigo, Estatus asignacion, Hora, Limite de despacho maximo (MW), Limite de despacho minimo (MW), Reserva rodante 10 min (MW), Costo Reserva rodante 10 min ($/MW), Reserva no rodante 10 min (MW), Costo Reserva no rodante 10 min ($/MW), Reserva rodante suplementaria (MW), Costo Reserva rodante suplementaria ($/MW), Reserva no rodante suplementaria (MW), Costo Reserva no rodante suplementaria ($/MW), Reserva regulacion secundaria (MW), Costo Reserva regulacion secundaria ($/MW)
3FVZY14L9I4UZCZ,ECO,1,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,2,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,3,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,4,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,5,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,6,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,7,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,8,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,9,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,10,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,11,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,12,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,13,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,14,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,15,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,16,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,17,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,18,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,19,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,20,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,21,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,22,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,23,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I4UZCZ,ECO,24,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,1,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,2,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,3,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,4,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,5,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,6,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,7,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,8,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,9,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,10,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,11,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,12,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,13,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,14,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,15,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,16,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,17,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,18,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,19,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,20,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,21,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
3FVZY14L9I7KVYS,ECO,22,        135.000,        125.000,         10.000,          6.64,        135.000,          4.15,         10.000,          6.64,        135.000,          4.15,         10.000,          8.31,
