Centro Nacional de Control de Energia
Ofertas de compra-venta de energia del MDA (Ofertas de venta de Recursos Intermitentes Despachables)
Sistema Interconectado Nacional
Reporte diario - Componentes horarios de las ofertas 
Fecha: 26/ago/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/oct/2020 01:00:01 hrs.
Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema.
Datos horarios:
Codigo, Estatus asignacion, Hora, Pronostico en MW, (%) Pronostico de Generacion Bloque 01, Costo de Generacion Bloque 01 ($/MWh), (%) Pronostico de Generacion Bloque 02, Costo de Generacion Bloque 02 ($/MWh), (%) Pronostico de Generacion Bloque 03, Costo de Generacion Bloque 03 ($/MWh)
0454680HHCZRU5U,ECO,1,          0.000,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,2,          0.000,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,3,          0.000,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,4,          0.000,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,5,          0.000,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,6,          0.000,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,7,          0.250,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,8,          9.100,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,9,         11.540,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,10,         14.600,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,11,         15.750,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,12,         16.800,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,13,         16.850,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,14,         17.110,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,15,         15.410,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,16,         13.550,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,17,         11.100,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,18,          9.200,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,19,          3.680,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,20,          0.300,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,21,          0.000,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,22,          0.000,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,23,          0.000,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0454680HHCZRU5U,ECO,24,          0.000,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0SZ9JT9OC0SVCFU,ECO,1,          0.000,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0SZ9JT9OC0SVCFU,ECO,2,          0.000,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
0SZ9JT9OC0SVCFU,ECO,3,          0.000,        100.00,          0.00,          0.00,          0.00,          0.00,          0.00,
