Centro Nacional de Control de Energia
Ofertas de compra-venta de energia del MDA (Ofertas de venta de Unidad de Central Termica)
Sistema Interconectado Nacional
Reporte diario - Componentes diarios de las ofertas 
Fecha: 26/ago/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/oct/2020 01:00:01 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema 
Datos diarios:
Codigo, Tiempo en paro para Arranque Caliente (Horas), Costo de Arranque Caliente ($), Tiempo en paro para Arranque Tibio (Horas), Costo de Arranque Tibio ($), Tiempo en paro para Arranque Frio (Horas), Costo de Arranque Frio ($)
1NPMB5H5WZ68S1B,        1.00,          0.00,         24.00,     527616.00,         48.00,     527616.00,
3FVZY1QPDG1X7V0,        8.00,     479950.45,         41.00,     689936.67,        192.00,    1288260.97,
3FVZY1QPDGA6KZH,        8.00,     447677.49,         41.00,     640725.79,        192.00,     987040.92,
3FVZY1QPDGAV8AT,        8.00,     447677.49,         41.00,     640725.79,        192.00,     987040.92,
3FVZY1QPDGC8FCA,        8.00,     447677.49,         41.00,     640725.79,        192.00,     987040.92,
3FVZY1QPDGM7720,        8.00,     479950.45,         41.00,     689936.67,        192.00,    1288260.97,
3FVZY267ZKT0007,        1.00,      91648.66,          4.00,     157629.58,         36.00,     176506.46,
3FVZY267ZKTILWD,        0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
3FVZY267ZKZU8DJ,        2.00,    2651417.65,         10.00,    4576473.21,         36.00,    6621593.97,
3FVZY75FDU92A35,        0.00,          0.00,          0.00,          0.00,          0.00,          0.00,
3FVZY75FDU9AV4D,        1.00,      26497.21,          1.00,      26497.21,          1.00,      26497.21,
3FVZY75FDUGYHIS,        1.00,      30226.92,          1.00,      30226.92,          1.00,      30226.92,
3FVZY9C5748QJMT,        3.00,      23443.41,         12.00,      37949.28,         48.00,      43529.43,
3FVZYHTLHX7FA3A,        1.00,      52630.59,          1.00,      52630.59,          1.00,      52630.59,
3FVZYHTLHXCSOQW,        1.00,      31219.77,         16.00,      81657.21,         48.00,     170995.09,
3FVZYHTLHXI20C1,        1.00,      30911.23,         16.00,      81126.73,         48.00,     170110.44,
3FVZYJ9SGOBHA5I,        1.00,      19349.06,          1.00,      19349.06,          1.00,      19349.06,
3FVZYJ9SGOFOQQQ,        1.00,      27459.11,          1.00,      27459.11,          1.00,      27459.11,
3FVZYJ9SGOKCF9N,        1.00,      32277.75,          1.00,      32277.75,          1.00,      32277.75,
3FVZYKLT73I3UUA,        1.00,      14783.78,          1.00,      14783.78,          1.00,      14783.78,
3FVZYKLT73N6N6S,        1.00,      18595.30,          1.00,      18595.30,          1.00,      18595.30,
3FVZYL2DRH35KBF,        1.00,      56071.43,         12.00,      87048.00,         36.00,     146026.52,
