Centro Nacional de Control de Energia
Ofertas de compra-venta de energia del MDA (Ofertas de venta de Unidad de Central Termica)
Sistema Interconectado Nacional
Reporte diario - Componentes horarios de las ofertas 
Fecha: 26/ago/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/oct/2020 01:00:01 hrs.
Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema.
Datos horarios:
Codigo, Estatus asignacion, Hora, Limite de despacho maximo (MW), Limite de despacho minimo (MW), Costo de Operacion a potencia minima ($), Bloque de Potencia 01 (MW), Costo Incremental de generacion Bloque 01 ($/MWh), Bloque de Potencia 02 (MW), Costo Incremental de generacion Bloque 02 ($/MWh), Bloque de Potencia 03 (MW), Costo Incremental de generacion Bloque 03 ($/MWh), Bloque de Potencia 04 (MW), Costo Incremental de generacion Bloque 04 ($/MWh), Bloque de Potencia 05 (MW), Costo Incremental de generacion Bloque 05 ($/MWh), Bloque de Potencia 06 (MW), Costo Incremental de generacion Bloque 06 ($/MWh), Bloque de Potencia 07 (MW), Costo Incremental de generacion Bloque 07 ($/MWh), Bloque de Potencia 08 (MW), Costo Incremental de generacion Bloque 08 ($/MWh), Bloque de Potencia 09 (MW), Costo Incremental de generacion Bloque 09 ($/MWh), Bloque de Potencia 10 (MW), Costo Incremental de generacion Bloque 10 ($/MWh), Bloque de Potencia 11 (MW), Costo Incremental de generacion Bloque 11 ($/MWh), Reserva rodante 10 min (MW), Costo Reserva rodante 10 min ($/MW), Reserva no rodante 10 min (MW), Costo Reserva no rodante 10 min ($/MW), Reserva rodante suplementaria (MW), Costo Reserva rodante suplementaria ($/MW), Reserva no rodante suplementaria (MW), Costo Reserva no rodante suplementaria ($/MW), Reserva regulacion secundaria (MW), Costo Reserva regulacion secundaria ($/MW)
1NPMB5H5WZ68S1B,ECO,1,        500.000,        350.000,     170350.20,        150.000,        452.97,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.0000,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,         75.000,          7.83,
1NPMB5H5WZ68S1B,ECO,2,        500.000,        350.000,     170350.20,        150.000,        452.97,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.0000,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,         75.000,          7.83,
1NPMB5H5WZ68S1B,ECO,3,        500.000,        350.000,     170350.20,        150.000,        452.97,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.0000,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,         75.000,          7.83,
1NPMB5H5WZ68S1B,ECO,4,        500.000,        350.000,     170350.20,        150.000,        452.97,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.0000,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,         75.000,          7.83,
1NPMB5H5WZ68S1B,ECO,5,        500.000,        350.000,     170350.20,        150.000,        452.97,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.0000,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,         75.000,          7.83,
1NPMB5H5WZ68S1B,ECO,6,        500.000,        350.000,     170350.20,        150.000,        452.97,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.0000,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,         75.000,          7.83,
1NPMB5H5WZ68S1B,ECO,7,        480.000,        350.000,     170350.20,        130.000,        440.54,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.0000,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,         60.000,          7.58,
1NPMB5H5WZ68S1B,ECO,8,        480.000,        350.000,     170350.20,        130.000,        440.54,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.0000,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,         60.000,          7.58,
1NPMB5H5WZ68S1B,ECO,9,        480.000,        350.000,     170350.20,        130.000,        440.54,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.0000,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,         60.000,          7.58,
1NPMB5H5WZ68S1B,ECO,10,        480.000,        350.000,     170350.20,        130.000,        440.54,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.0000,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,          0.000,          0.00,         60.000,          7.58,
