Centro Nacional de Control de Energia
Programa de Consumo de los Centros de Carga representados por el Generador de Intermediacion (GI) (No incluye Exportacion)
Sistema Interconectado Nacional
Reporte diario
Fecha: 26/ago/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/oct/2020 01:00:01 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Datos horarios:
Codigo, Hora, Potencia Media (MW)
X6EQK003BO,1,          3.444,
X6EQK003BO,2,          3.444,
X6EQK003BO,3,          3.444,
X6EQK003BO,4,          3.444,
X6EQK003BO,5,          3.444,
X6EQK003BO,6,          3.444,
X6EQK003BO,7,          3.444,
X6EQK003BO,8,          3.444,
X6EQK003BO,9,          3.444,
X6EQK003BO,10,          3.444,
X6EQK003BO,11,          3.444,
X6EQK003BO,12,          3.444,
X6EQK003BO,13,          3.444,
X6EQK003BO,14,          3.444,
X6EQK003BO,15,          3.444,
X6EQK003BO,16,          3.444,
X6EQK003BO,17,          3.444,
X6EQK003BO,18,          3.444,
X6EQK003BO,19,          3.444,
X6EQK003BO,20,          3.444,
X6EQK003BO,21,          3.444,
X6EQK003BO,22,          3.444,
X6EQK003BO,23,          3.444,
X6EQK003BO,24,          3.444,
X6EQK014AT,1,          0.007,
X6EQK014AT,2,          0.008,
X6EQK014AT,3,          0.007,
X6EQK014AT,4,          0.006,
X6EQK014AT,5,          0.006,
X6EQK014AT,6,          0.006,
X6EQK014AT,7,          0.006,
X6EQK014AT,8,          0.005,
X6EQK014AT,9,          0.004,
X6EQK014AT,10,          0.002,
X6EQK014AT,11,          0.002,
X6EQK014AT,12,          0.003,
X6EQK014AT,13,          0.008,
X6EQK014AT,14,          0.014,
X6EQK014AT,15,          0.025,
X6EQK014AT,16,          0.031,
X6EQK014AT,17,          0.027,
X6EQK014AT,18,          0.023,
X6EQK014AT,19,          0.019,
X6EQK014AT,20,          0.018,
X6EQK014AT,21,          0.018,
X6EQK014AT,22,          0.015,
X6EQK014AT,23,          0.011,
X6EQK014AT,24,          0.009,
X6EQK016H7,1,          0.000,
X6EQK016H7,2,          0.000,
X6EQK016H7,3,          0.000,
X6EQK016H7,4,          0.000,
X6EQK016H7,5,          0.000,
X6EQK016H7,6,          0.000,
X6EQK016H7,7,          0.000,
X6EQK016H7,8,          0.000,
X6EQK016H7,9,          0.000,
X6EQK016H7,10,          0.000,
X6EQK016H7,11,          0.000,
X6EQK016H7,12,          0.000,
X6EQK016H7,13,          0.000,
X6EQK016H7,14,          0.000,
X6EQK016H7,15,          0.000,
X6EQK016H7,16,          0.000,
X6EQK016H7,17,          0.000,
X6EQK016H7,18,          0.000,
X6EQK016H7,19,          0.000,
X6EQK016H7,20,          0.000,
X6EQK016H7,21,          0.000,
X6EQK016H7,22,          0.000,
X6EQK016H7,23,          0.000,
X6EQK016H7,24,          0.000,
X6EQK01CMV,1,          0.002,
X6EQK01CMV,2,          0.002,
X6EQK01CMV,3,          0.001,
X6EQK01CMV,4,          0.001,
X6EQK01CMV,5,          0.001,
X6EQK01CMV,6,          0.001,
X6EQK01CMV,7,          0.001,
X6EQK01CMV,8,          0.001,
X6EQK01CMV,9,          0.001,
X6EQK01CMV,10,          0.001,
X6EQK01CMV,11,          0.002,
X6EQK01CMV,12,          0.002,
X6EQK01CMV,13,          0.005,
X6EQK01CMV,14,          0.008,
X6EQK01CMV,15,          0.011,
X6EQK01CMV,16,          0.016,
X6EQK01CMV,17,          0.017,
X6EQK01CMV,18,          0.010,
X6EQK01CMV,19,          0.007,
X6EQK01CMV,20,          0.006,
X6EQK01CMV,21,          0.006,
X6EQK01CMV,22,          0.005,
X6EQK01CMV,23,          0.004,
X6EQK01CMV,24,          0.004,
X6EQK01QTL,1,          0.280,
X6EQK01QTL,2,          0.278,
X6EQK01QTL,3,          0.280,
X6EQK01QTL,4,          0.280,
X6EQK01QTL,5,          0.281,
X6EQK01QTL,6,          0.282,
X6EQK01QTL,7,          0.298,
X6EQK01QTL,8,          0.319,
X6EQK01QTL,9,          0.348,
X6EQK01QTL,10,          0.374,
X6EQK01QTL,11,          0.400,
X6EQK01QTL,12,          0.404,
X6EQK01QTL,13,          0.403,
X6EQK01QTL,14,          0.401,
X6EQK01QTL,15,          0.401,
X6EQK01QTL,16,          0.392,
X6EQK01QTL,17,          0.375,
X6EQK01QTL,18,          0.341,
X6EQK01QTL,19,          0.332,
X6EQK01QTL,20,          0.303,
X6EQK01QTL,21,          0.292,
X6EQK01QTL,22,          0.301,
X6EQK01QTL,23,          0.306,
X6EQK01QTL,24,          0.300,
X6EQK01R5F,1,          0.000,
