Centro Nacional de Control de Energia
Programa de Generacion de las Unidades representadas por el Generador de Intermediacion (GI) (No incluye importacion)
Sistema Interconectado Nacional
Reporte diario
Fecha: 26/ago/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/oct/2020 01:00:01 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Datos horarios:
Codigo, Hora, Potencia Media (MW)
X6EQK00NFGTHMQF,1,          0.000,
X6EQK00NFGTHMQF,2,          0.000,
X6EQK00NFGTHMQF,3,          0.000,
X6EQK00NFGTHMQF,4,          0.000,
X6EQK00NFGTHMQF,5,          0.000,
X6EQK00NFGTHMQF,6,          0.000,
X6EQK00NFGTHMQF,7,          0.000,
X6EQK00NFGTHMQF,8,          0.000,
X6EQK00NFGTHMQF,9,          0.000,
X6EQK00NFGTHMQF,10,          0.000,
X6EQK00NFGTHMQF,11,          0.000,
X6EQK00NFGTHMQF,12,          0.000,
X6EQK00NFGTHMQF,13,          0.000,
X6EQK00NFGTHMQF,14,          0.000,
X6EQK00NFGTHMQF,15,          0.000,
X6EQK00NFGTHMQF,16,          0.000,
X6EQK00NFGTHMQF,17,          0.000,
X6EQK00NFGTHMQF,18,          0.000,
X6EQK00NFGTHMQF,19,          0.000,
X6EQK00NFGTHMQF,20,          0.000,
X6EQK00NFGTHMQF,21,          0.000,
X6EQK00NFGTHMQF,22,          0.000,
X6EQK00NFGTHMQF,23,          0.000,
X6EQK00NFGTHMQF,24,          0.000,
X6EQK0EL8PKOK3L,1,         58.500,
X6EQK0EL8PKOK3L,2,         58.500,
X6EQK0EL8PKOK3L,3,         58.500,
X6EQK0EL8PKOK3L,4,         58.500,
X6EQK0EL8PKOK3L,5,         58.500,
X6EQK0EL8PKOK3L,6,         58.500,
X6EQK0EL8PKOK3L,7,         58.500,
X6EQK0EL8PKOK3L,8,         58.500,
X6EQK0EL8PKOK3L,9,         58.500,
X6EQK0EL8PKOK3L,10,         58.500,
X6EQK0EL8PKOK3L,11,         58.500,
X6EQK0EL8PKOK3L,12,         58.500,
X6EQK0EL8PKOK3L,13,         58.500,
X6EQK0EL8PKOK3L,14,         58.500,
X6EQK0EL8PKOK3L,15,         58.500,
X6EQK0EL8PKOK3L,16,         58.500,
X6EQK0EL8PKOK3L,17,         58.500,
X6EQK0EL8PKOK3L,18,         58.500,
X6EQK0EL8PKOK3L,19,         58.500,
X6EQK0EL8PKOK3L,20,         58.500,
X6EQK0EL8PKOK3L,21,         58.500,
X6EQK0EL8PKOK3L,22,         58.500,
X6EQK0EL8PKOK3L,23,         58.500,
X6EQK0EL8PKOK3L,24,         58.500,
X6EQK0LZZMQE86F,1,          0.000,
X6EQK0LZZMQE86F,2,          0.000,
X6EQK0LZZMQE86F,3,          0.000,
X6EQK0LZZMQE86F,4,          0.000,
X6EQK0LZZMQE86F,5,          0.000,
X6EQK0LZZMQE86F,6,          0.000,
X6EQK0LZZMQE86F,7,          0.000,
X6EQK0LZZMQE86F,8,          0.400,
X6EQK0LZZMQE86F,9,          6.180,
X6EQK0LZZMQE86F,10,         20.238,
X6EQK0LZZMQE86F,11,         28.146,
X6EQK0LZZMQE86F,12,         29.178,
X6EQK0LZZMQE86F,13,         29.243,
X6EQK0LZZMQE86F,14,         29.488,
X6EQK0LZZMQE86F,15,         29.620,
X6EQK0LZZMQE86F,16,         28.838,
X6EQK0LZZMQE86F,17,         27.554,
X6EQK0LZZMQE86F,18,         24.885,
X6EQK0LZZMQE86F,19,         17.901,
X6EQK0LZZMQE86F,20,          6.538,
X6EQK0LZZMQE86F,21,          0.092,
X6EQK0LZZMQE86F,22,          0.000,
X6EQK0LZZMQE86F,23,          0.000,
X6EQK0LZZMQE86F,24,          0.000,
X6EQK0STSW7UHYB,1,          8.400,
X6EQK0STSW7UHYB,2,          8.400,
X6EQK0STSW7UHYB,3,          8.400,
X6EQK0STSW7UHYB,4,          8.400,
X6EQK0STSW7UHYB,5,          8.400,
X6EQK0STSW7UHYB,6,          8.400,
X6EQK0STSW7UHYB,7,          8.400,
X6EQK0STSW7UHYB,8,          8.400,
X6EQK0STSW7UHYB,9,          8.400,
X6EQK0STSW7UHYB,10,          8.400,
X6EQK0STSW7UHYB,11,          8.400,
X6EQK0STSW7UHYB,12,          8.400,
X6EQK0STSW7UHYB,13,          8.400,
X6EQK0STSW7UHYB,14,          8.400,
X6EQK0STSW7UHYB,15,          8.400,
X6EQK0STSW7UHYB,16,          8.400,
X6EQK0STSW7UHYB,17,          8.400,
X6EQK0STSW7UHYB,18,          8.400,
X6EQK0STSW7UHYB,19,          8.400,
X6EQK0STSW7UHYB,20,          8.400,
X6EQK0STSW7UHYB,21,          8.400,
X6EQK0STSW7UHYB,22,          8.400,
X6EQK0STSW7UHYB,23,          8.400,
X6EQK0STSW7UHYB,24,          8.400,
X6EQK0UIF45N2J7,1,          0.000,
X6EQK0UIF45N2J7,2,          0.000,
X6EQK0UIF45N2J7,3,          0.000,
X6EQK0UIF45N2J7,4,          0.000,
X6EQK0UIF45N2J7,5,          0.000,
X6EQK0UIF45N2J7,6,          0.000,
X6EQK0UIF45N2J7,7,          0.000,
X6EQK0UIF45N2J7,8,          0.000,
X6EQK0UIF45N2J7,9,          0.000,
X6EQK0UIF45N2J7,10,          0.000,
X6EQK0UIF45N2J7,11,          0.000,
X6EQK0UIF45N2J7,12,          0.000,
X6EQK0UIF45N2J7,13,          0.000,
X6EQK0UIF45N2J7,14,          0.000,
X6EQK0UIF45N2J7,15,          0.000,
X6EQK0UIF45N2J7,16,          0.000,
X6EQK0UIF45N2J7,17,          0.000,
X6EQK0UIF45N2J7,18,          0.000,
X6EQK0UIF45N2J7,19,          0.000,
X6EQK0UIF45N2J7,20,          0.000,
X6EQK0UIF45N2J7,21,          0.000,
X6EQK0UIF45N2J7,22,          0.000,
X6EQK0UIF45N2J7,23,          0.000,
X6EQK0UIF45N2J7,24,          0.000,
X6EQK0YYG1D5DRW,1,          0.213,
X6EQK0YYG1D5DRW,2,          0.205,
X6EQK0YYG1D5DRW,3,          0.186,
X6EQK0YYG1D5DRW,4,          0.182,
X6EQK0YYG1D5DRW,5,          0.180,
X6EQK0YYG1D5DRW,6,          0.181,
X6EQK0YYG1D5DRW,7,          0.193,
X6EQK0YYG1D5DRW,8,          0.163,
X6EQK0YYG1D5DRW,9,          0.177,
X6EQK0YYG1D5DRW,10,          0.192,
X6EQK0YYG1D5DRW,11,          0.216,
X6EQK0YYG1D5DRW,12,          0.240,
X6EQK0YYG1D5DRW,13,          0.263,
X6EQK0YYG1D5DRW,14,          0.268,
X6EQK0YYG1D5DRW,15,          0.273,
X6EQK0YYG1D5DRW,16,          0.278,
X6EQK0YYG1D5DRW,17,          0.274,
X6EQK0YYG1D5DRW,18,          0.270,
X6EQK0YYG1D5DRW,19,          0.266,
X6EQK0YYG1D5DRW,20,          0.239,
X6EQK0YYG1D5DRW,21,          0.211,
X6EQK0YYG1D5DRW,22,          0.184,
X6EQK0YYG1D5DRW,23,          0.175,
X6EQK0YYG1D5DRW,24,          0.167,
X6EQK10NI3XVTVI,1,          0.000,
X6EQK10NI3XVTVI,2,          0.000,
X6EQK10NI3XVTVI,3,          0.000,
X6EQK10NI3XVTVI,4,          0.000,
X6EQK10NI3XVTVI,5,          0.000,
X6EQK10NI3XVTVI,6,          0.000,
X6EQK10NI3XVTVI,7,          0.000,
X6EQK10NI3XVTVI,8,          0.000,
X6EQK10NI3XVTVI,9,          0.000,
X6EQK10NI3XVTVI,10,          0.000,
X6EQK10NI3XVTVI,11,          0.000,
X6EQK10NI3XVTVI,12,          0.000,
X6EQK10NI3XVTVI,13,          0.000,
X6EQK10NI3XVTVI,14,          0.000,
X6EQK10NI3XVTVI,15,          0.000,
X6EQK10NI3XVTVI,16,          0.000,
X6EQK10NI3XVTVI,17,          0.000,
X6EQK10NI3XVTVI,18,          0.000,
X6EQK10NI3XVTVI,19,          0.000,
