Centro Nacional de Control de Energia
Requerimientos Totales de Servicios Conexos en el MDA
Sistema Interconectado Nacional
Reporte diario
Fecha: 26/Agosto/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/Agosto/2020 15:50:27 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Zona de Reserva,Hora,RT Reserva Regulacion (MW),RT Reserva Rodante 10 (MW),RT Reserva 10 (MW),RT Reserva Suplementaria (MW)
SIN,1,375,833,1235,2040
SIN,2,363,800,1188,1963
SIN,3,367,757,1132,1881
SIN,4,362,737,1104,1837
SIN,5,360,727,1089,1814
SIN,6,361,722,1082,1804
SIN,7,365,729,1093,1823
SIN,8,372,743,1115,1858
SIN,9,379,765,1146,1909
SIN,10,368,819,1215,2007
SIN,11,357,850,1252,2057
SIN,12,360,871,1281,2102
SIN,13,361,891,1308,2143
SIN,14,361,906,1328,2173
SIN,15,364,922,1351,2209
SIN,16,372,930,1364,2232
SIN,17,367,947,1385,2262
SIN,18,371,929,1362,2229
SIN,19,369,896,1318,2162
SIN,20,356,875,1285,2105
SIN,21,352,921,1345,2194
SIN,22,350,946,1378,2243
SIN,23,351,945,1377,2240
SIN,24,355,915,1338,2184
